Sentence #,Word,POS,Tag
Sentence: 1,memantau,,O
Sentence: 1,pemanfaatan,,O
Sentence: 1,wilayah,,O
Sentence: 1,oleh,,O
Sentence: 1,perusahaan.,,O
Sentence: 1,Oleh,,O
Sentence: 1,karena,,O
Sentence: 1,itu,,O
Sentence: 1,diperlukan,,O
Sentence: 1,suatu,,O
Sentence: 1,metode,,O
Sentence: 1,pengumpulan,,O
Sentence: 1,data,,O
Sentence: 1,yang,,O
Sentence: 1,cepat,,O
Sentence: 1,",",,O
Sentence: 1,murah,,O
Sentence: 1,",",,O
Sentence: 1,dan,,O
Sentence: 1,akurat.,,O
Sentence: 1,Remote,,O
Sentence: 1,sensing,,O
Sentence: 1,merupakan,,O
Sentence: 1,suatu,,O
Sentence: 1,metode,,O
Sentence: 1,alternatif,,O
Sentence: 1,yang,,O
Sentence: 1,efektif,,O
Sentence: 1,baik,,O
Sentence: 1,dari,,O
Sentence: 1,segi,,O
Sentence: 1,waktu,,O
Sentence: 1,maupun,,O
Sentence: 1,biaya.,,O
Sentence: 1,Untuk,,O
Sentence: 1,itu,,O
Sentence: 1,",",,O
Sentence: 1,penelitian,,O
Sentence: 1,ini,,O
Sentence: 1,mengombinasikan,,O
Sentence: 1,data,,O
Sentence: 1,citra,,O
Sentence: 1,satelit,,O
Sentence: 1,dan,,O
Sentence: 1,metode,,O
Sentence: 1,machine,,O
Sentence: 1,learning,,O
Sentence: 1,untuk,,O
Sentence: 1,menghasilkan,,O
Sentence: 1,klasifikasi,,O
Sentence: 1,yang,,O
Sentence: 1,akurat,,O
Sentence: 1,untuk,,O
Sentence: 1,pemetaan,,O
Sentence: 1,luas,,O
Sentence: 1,wilayah,,O
Sentence: 1,tambang,,O
Sentence: 1,batu,,O
Sentence: 1,bara.,,O
Sentence: 1,Berdasarkan,,O
Sentence: 1,hasil,,O
Sentence: 1,dari,,O
Sentence: 1,analisis,,O
Sentence: 1,deskriptif,,O
Sentence: 1,",",,O
Sentence: 1,indeks,,O
Sentence: 1,komposit,,O
Sentence: 1,yang,,O
Sentence: 1,diperoleh,,O
Sentence: 1,dari,,O
Sentence: 1,citra,,O
Sentence: 1,satelit,,O
Sentence: 1,cukup,,O
Sentence: 1,representatif,,O
Sentence: 1,untuk,,O
Sentence: 1,menunjukkan,,O
Sentence: 1,wilayah,,O
Sentence: 1,yang,,O
Sentence: 1,terdapat,,O
Sentence: 1,di,,O
Sentence: 1,dalamnya.,,O
Sentence: 1,Indeks,,O
Sentence: 1,komposit,,O
Sentence: 1,tersebut,,O
Sentence: 1,digunakan,,O
Sentence: 1,sebagai,,O
Sentence: 1,indikator,,O
Sentence: 1,pada,,O
Sentence: 1,proses,,O
Sentence: 1,pemodelan,,O
Sentence: 1,menggunakan,,O
Sentence: 1,machine,,O
Sentence: 1,learning.,,O
Sentence: 1,Dari,,O
Sentence: 1,beberapa,,O
Sentence: 1,algoritma,,O
Sentence: 1,yang,,O
Sentence: 1,diuji,,O
Sentence: 1,",",,O
Sentence: 1,random,,O
Sentence: 1,forest,,O
Sentence: 1,merupakan,,O
Sentence: 1,model,,O
Sentence: 1,terbaik,,O
Sentence: 1,dan,,O
Sentence: 1,menghasilkan,,O
Sentence: 1,akurasi,,O
Sentence: 1,sebesar,,O
Sentence: 1,98.20,,O
Sentence: 1,%,,O
Sentence: 1,.,,O
Sentence: 1,Kata,,O
Sentence: 1,Kunci—,,O
Sentence: 1,Batu,,O
Sentence: 1,bara,,O
Sentence: 1,",",,O
Sentence: 1,luas,,O
Sentence: 1,wilayah,,O
Sentence: 1,",",,O
Sentence: 1,citra,,O
Sentence: 1,satelit,,O
Sentence: 1,",",,O
Sentence: 1,machine,,O
Sentence: 1,learning.,,O
Sentence: 1,[SEP],,O
Sentence: 1,A.,,O
Sentence: 1,Kesimpulan,,O
Sentence: 1,Dari,,O
Sentence: 1,penelitian,,O
Sentence: 1,tersebut,,O
Sentence: 1,algoritma,,O
Sentence: 1,terbaik,,O
Sentence: 1,untuk,,O
Sentence: 1,masing-masing,,O
Sentence: 1,klasifikasi,,O
Sentence: 1,dan,,O
Sentence: 1,didapatkan,,O
Sentence: 1,pula,,O
Sentence: 1,random,,O
Sentence: 1,forest,,O
Sentence: 1,sebagai,,O
Sentence: 1,algoritma,,O
Sentence: 1,yang,,O
Sentence: 1,memiliki,,O
Sentence: 1,nilai,,O
Sentence: 1,evaluasi,,O
Sentence: 1,tertinggi,,O
Sentence: 1,dibanding,,O
Sentence: 1,metode,,O
Sentence: 1,lainnya.,,O
Sentence: 1,Nilai,,O
Sentence: 1,evaluasi,,O
Sentence: 1,yang,,O
Sentence: 1,didapatkan,,O
Sentence: 1,oleh,,O
Sentence: 1,algoritma,,O
Sentence: 1,random,,O
Sentence: 1,forest,,O
Sentence: 1,adalah,,O
Sentence: 1,sebagai,,O
Sentence: 1,berikut,,O
Sentence: 1,",",,O
Sentence: 1,nilai,,O
Sentence: 1,akurasi,,O
Sentence: 1,sebesar,,O
Sentence: 1,98.20,,O
Sentence: 1,%,,O
Sentence: 1,",",,O
Sentence: 1,presisi,,O
Sentence: 1,sebesar,,O
Sentence: 1,98.22,,O
Sentence: 1,%,,O
Sentence: 1,",",,O
Sentence: 1,recall,,O
Sentence: 1,sebesar,,O
Sentence: 1,98.20,,O
Sentence: 1,%,,O
Sentence: 1,",",,O
Sentence: 1,dan,,O
Sentence: 1,F1,,O
Sentence: 1,sebesar,,O
Sentence: 1,98.15,,O
Sentence: 1,%,,O
Sentence: 1,.,,O
Sentence: 1,Pemetaan,,O
Sentence: 1,dapat,,O
Sentence: 1,dilakukan,,O
Sentence: 1,dengan,,O
Sentence: 1,menggunakan,,O
Sentence: 1,peta,,O
Sentence: 1,klasifikasi,,O
Sentence: 1,yang,,O
Sentence: 1,menunjukkan,,O
Sentence: 1,7,,O
Sentence: 1,kelas,,O
Sentence: 1,tutupan,,O
Sentence: 1,lahan,,O
Sentence: 1,di,,O
Sentence: 1,Kutai,,O
Sentence: 1,Timur,,O
Sentence: 1,",",,O
Sentence: 1,Kalimantan,,O
Sentence: 1,Timur,,O
Sentence: 1,antara,,O
Sentence: 2,Chatbot,,O
Sentence: 2,Halo,,O
Sentence: 2,WARKOP,,O
Sentence: 2,dibuat.,,O
Sentence: 2,Fitur,,O
Sentence: 2,chatbot,,O
Sentence: 2,dibuat,,O
